Campaign_ID,Channel,Product_Category,Region,Budget,Spend,Impressions,Clicks,CTR,Conversions,CR,Revenue,ROI,Duration,Start_Date,End_Date,Customer_Satisfaction,Campaign_Effectiveness,Market_Segment
CAM0001,Billboard,Fashion,Kuala Lumpur,484341.0,197038.0,545901.0,18502.5,7.85,7993.0,34.14,849005.0,430.8838904170769,296.0,2023-03-02 00:00:00.000000000,2023-12-23 00:00:00.000000000,3.0,3.0,Medium
CAM0003,Radio,Electronics,Penang,10487.0,6745.0,806911.0,12209.0,1.5130541038602772,7168.0,58.710787124252604,51142.0,758.2209043736101,191.0,2023-04-12 00:00:00.000000000,2023-10-20 00:00:00.000000000,1.0,2.0,Medium
CAM0004,Email,Electronics,Penang,345431.0,329112.0,108570.0,34391.0,31.676337846550613,7190.0,20.90663254921346,191887.0,58.304467779965485,88.0,2023-01-26 00:00:00.000000000,2023-04-24 00:00:00.000000000,5.0,6.0,High
CAM0005,Radio,Fashion,Kuala Lumpur,322345.0,34365.0,799855.0,13056.0,1.6322958536234693,1794.0,13.740808823529413,167241.0,486.6608467917939,9.0,2023-01-01 00:00:00.000000000,2023-01-10 00:00:00.000000000,5.0,6.0,Low
CAM0006,TV,Electronics,Penang,422726.0,265296.6850828729,25680.0,16342.0,63.63707165109034,9786.0,59.882511320523804,480187.0,181.0,62.0,2023-06-15 00:00:00.000000000,2023-08-16 00:00:00.000000000,5.0,3.0,Medium
CAM0007,Radio,Automotive,Sarawak,285607.0,444126.0,81342.0,35053.0,43.093358904379045,290.0,0.8273186317861524,753564.0,169.67347104200158,16.0,2023-06-21 00:00:00.000000000,2023-07-07 00:00:00.000000000,4.0,7.0,High
CAM0008,Billboard,Groceries,Sabah,406954.0,64007.0,180250.0,17104.0,9.489042995839112,8704.0,50.88868101028999,987174.0,1542.2906869561143,128.0,2023-06-13 00:00:00.000000000,2023-10-19 00:00:00.000000000,4.0,10.0,Low
CAM0009,Social Media,Electronics,Johor,265332.0,71027.0,543474.0,3181.0,0.5853085888193363,20614.52929,15.430864101966598,318098.0,447.855041040731,167.0,2023-06-21 00:00:00.000000000,2023-12-05 00:00:00.000000000,3.0,10.0,High
CAM0010,Radio,Automotive,Kuala Lumpur,399568.0,297974.0,319054.0,36693.0,11.500561033555448,3160.0,8.611996838634072,823506.0,276.36840798190445,167.0,2023-05-22 00:00:00.000000000,2023-11-05 00:00:00.000000000,5.0,9.0,Medium
CAM0011,Email,Automotive,Penang,2950122.353,273202.0,56257.30994152047,5772.0,10.26,6146.0,93.91474129515132,696597.0,254.97507338892103,6.0,2023-01-26 00:00:00.000000000,2023-02-01 00:00:00.000000000,5.0,7.0,Low
CAM0012,TV,Groceries,Johor,494293.0,345013.0,278502.0,29474.0,10.58304787757359,6381.0,21.649589468684262,538807.0,156.17005736015744,21.0,2023-06-20 00:00:00.000000000,2023-07-11 00:00:00.000000000,2.0,8.0,Medium
CAM0013,Social Media,Automotive,Sabah,93840.0,1768613.217,312459.0,28327.0,78.07,2031.0,635.947639,287196.0,16.238485455127073,247.0,2023-03-17 00:00:00.000000000,2023-11-19 00:00:00.000000000,3.0,10.0,High
CAM0014,TV,Automotive,Kuala Lumpur,92250.0,238467.0,605504.0,37505.0,6.194013582073776,8023.0,21.39181442474337,689118.0,288.97834920555044,216.0,2023-02-18 00:00:00.000000000,2023-09-22 00:00:00.000000000,1.0,9.0,Low
CAM0015,Radio,Automotive,Sarawak,398390.0,85313.0,625134.0,13527.0,33.660000000000004,9024.0,49.34,350492.0,410.83070575410545,53.0,2023-06-24 00:00:00.000000000,2023-08-16 00:00:00.000000000,3.0,4.0,Low
CAM0016,Billboard,Fashion,Johor,416307.0,356056.0,61680.09478672987,26029.0,42.199999999999996,2227.0,8.555841561335434,484913.0,136.19009369312693,325.0,2023-01-07 00:00:00.000000000,2023-11-28 00:00:00.000000000,3.0,7.0,High
CAM0017,Social Media,Groceries,Sabah,253173.0,164789.0,412423.0,21115.0,5.1197435642532065,1589.0,7.525455837082642,135885.0,82.45999429573575,293.0,2023-02-11 00:00:00.000000000,2023-12-01 00:00:00.000000000,3.0,4.0,Low
CAM0018,TV,Electronics,Sabah,95047.0,143469.0,143510.0,42776.0,29.80698209184029,6712.0,15.691041705629324,871680.0,607.5737615791564,110.0,2023-05-05 00:00:00.000000000,2023-08-23 00:00:00.000000000,4.0,6.0,Low
CAM0019,TV,Groceries,Johor,70988.0,356155.0,790871.0,27337.0,3.4565687703810104,2559.0,9.360939386179902,645493.0,181.23934803666944,112.0,2023-12-18 00:00:00.000000000,2024-04-08 00:00:00.000000000,1.0,1.0,Medium
CAM0020,Billboard,Health,Johor,374690.0,170782.0,31870.783304745568,27871.0,87.45,3166.0,11.35947759319723,760602.0,445.36426555491795,217.0,2023-04-25 00:00:00.000000000,2023-11-28 00:00:00.000000000,4.0,6.0,High
CAM0021,Radio,Health,Sabah,377108.0,145927.0,852248.0,47402.0,5.561996038711737,1901.0,4.01037930888992,956667.0,655.5791594427351,191.0,2023-03-03 00:00:00.000000000,2023-09-10 00:00:00.000000000,1.0,1.0,Medium
CAM0022,Email,Electronics,Sabah,460110.0,118009.0,6732.5636564921715,4257.0,63.23,1221.0,28.68217054263566,682824.0,578.6202747248092,8.0,2023-08-04 00:00:00.000000000,2023-08-12 00:00:00.000000000,4.0,8.0,High
CAM0023,Radio,Automotive,Johor,152124.0,93699.0,117040.0,20883.0,17.842617908407384,5928.0,28.386726045108464,201298.0,214.83473676346597,158.0,2023-07-25 00:00:00.000000000,2023-12-30 00:00:00.000000000,5.0,10.0,High
CAM0024,Social Media,Fashion,Penang,286500.5,74977.0,793745.0,2938.0,0.3701440638996151,2991.0,98.2280173854898,984784.0,1313.448124091388,154.0,2023-05-05 00:00:00.000000000,2023-10-06 00:00:00.000000000,4.0,3.0,Medium
CAM0025,Billboard,Automotive,Sarawak,247862.0,253933.0,860326.0,18233.5,31.080000000000002,2024.0,16.72,40629.28,16.0,218.0,2023-01-07 00:00:00.000000000,2023-08-13 00:00:00.000000000,2.0,1.0,Medium
CAM0026,TV,Fashion,Penang,200311.0,260557.0,770139.0,22186.0,76.11,3314.0,89.51,914831.0,351.10590005257967,126.0,2023-04-02 00:00:00.000000000,2023-08-06 00:00:00.000000000,5.0,8.0,High
CAM0027,TV,Groceries,Kuala Lumpur,71589.0,322417.0,149964.0,28472.0,20.830000000000002,7424.0,57.15,743462.0,230.5901984076522,273.0,2023-03-16 00:00:00.000000000,2023-12-14 00:00:00.000000000,4.0,7.0,Medium
CAM0028,Social Media,Fashion,Johor,137118.0,445177.0,737571.0,42740.0,5.794696374993052,4257.0,9.960224613944781,32398.0,7.277554770349772,30.0,2023-08-08 00:00:00.000000000,2023-09-07 00:00:00.000000000,1.0,5.0,Medium
CAM0029,Email,Electronics,Johor,385360.0,200263.0,315849.0,25921.0,8.206769690579991,4448.0,17.159831796612785,444583.86000000004,222.00000000000003,88.0,2023-06-28 00:00:00.000000000,2023-09-24 00:00:00.000000000,1.0,9.0,High
CAM0030,Radio,Electronics,Penang,414527.5,26219.0,223573.0,31793.0,14.2204112303364,9957.0,31.318214701349355,204500.0,779.9687249704414,185.0,2022-08-25 00:00:00.000000000,2023-02-26 00:00:00.000000000,5.0,3.0,High
CAM0031,Billboard,Groceries,Sarawak,327702.0,232860.0,121327.0,26510.0,26.07,5361.0,79.59,209976.0,90.17263591857768,270.0,2023-03-22 00:00:00.000000000,2023-12-17 00:00:00.000000000,1.0,6.0,High
CAM0032,Social Media,Automotive,Kuala Lumpur,110168.0,348758.0,538171.0,28030.0,5.208381722538004,3806.0,13.578308954691401,348587.0,99.950968866664,72.0,2023-01-18 00:00:00.000000000,2023-03-31 00:00:00.000000000,3.0,6.0,High
CAM0033,Social Media,Fashion,Johor,41050.0,171210.4347826087,7057.0,45495.0,15.511594680734147,9853.0,21.657324980767118,196892.0,114.99999999999999,138.0,2023-05-01 00:00:00.000000000,2023-09-16 00:00:00.000000000,2.0,10.0,High
CAM0034,Radio,Health,Kuala Lumpur,222019.0,2159850.489850746,80612.0,14156.0,17.560660943780082,7695.0,54.35857586888952,7235499.141,335.0,14.0,2023-02-21 00:00:00.000000000,2023-03-07 00:00:00.000000000,1.0,7.0,High
CAM0035,Email,Electronics,Penang,205024.0,182527.0,627106.0,13678.0,2.1811304627925745,9349.0,68.3506360579032,606559.0,332.3119319333578,26.0,2023-01-28 00:00:00.000000000,2023-02-23 00:00:00.000000000,3.0,6.0,Medium
CAM0036,Billboard,Electronics,Sarawak,222236.0,48910.13824884793,779175.0,29099.0,3.734591073892258,8281.0,28.45802261246091,106135.0,217.0,29.0,2023-08-26 00:00:00.000000000,2023-09-24 00:00:00.000000000,1.0,8.0,Medium
CAM0037,Email,Groceries,Sarawak,164632.0,24587.0,36280.0,34447.0,94.9476295479603,4389.0,12.741312741312742,387895.0,1577.642656688494,83.0,2023-01-20 00:00:00.000000000,2023-04-13 00:00:00.000000000,3.0,7.0,Medium
CAM0038,Radio,Electronics,Johor,489524.0,105435.0,381179.0,37233.0,9.767851849131247,7801.0,20.951843794483388,94120.0,89.26826954995968,16.0,2023-07-28 00:00:00.000000000,2023-08-13 00:00:00.000000000,4.0,6.0,Medium
CAM0039,TV,Electronics,Johor,141279.0,394172.0,28177.0,22125.0,78.52148915782375,3722.0,16.822598870056495,339747.0,86.19257582984078,187.0,2023-02-02 00:00:00.000000000,2023-08-08 00:00:00.000000000,4.0,9.0,Medium
CAM0040,TV,Health,Kuala Lumpur,244982.0,314288.2882882883,105115.0,15448.0,14.696285021167293,226.0,1.462972553081305,348860.0,111.00000000000001,304.0,2023-02-24 00:00:00.000000000,2023-12-25 00:00:00.000000000,4.0,6.0,Medium
CAM0041,Billboard,Automotive,Sarawak,178084.0,56568.0,755022.0,33089.0,4.382521304014983,5542.0,16.748768472906402,582129.0,1029.078277471362,175.0,2023-01-19 00:00:00.000000000,2023-07-13 00:00:00.000000000,4.0,1.0,Low
CAM0042,Radio,Fashion,Penang,116271.0,100040.0,711959.0,7916.0,1.1118617785574731,7378.0,93.20363820111167,139055.59999999998,139.0,96.0,2023-03-19 00:00:00.000000000,2023-06-23 00:00:00.000000000,3.0,10.0,Low
CAM0043,Social Media,Health,Sarawak,363391.0,43684.0,221957.0,32289.0,14.547412336623761,3159.0,9.783517606615257,883636.0,2022.7909532094131,17.0,2023-01-29 00:00:00.000000000,2023-02-15 00:00:00.000000000,2.0,1.0,Low
CAM0044,Billboard,Electronics,Penang,45443.0,272139.0,65321.63742690058,20106.0,30.78,1768.0,8.793395006465731,412479.0,105.43214041975631,80.0,2023-04-15 00:00:00.000000000,2023-07-04 00:00:00.000000000,3.0,8.0,Medium
CAM0045,Email,Health,Penang,100990.0,3530658.454,988105.0,40674.0,4.116364151583081,9274.0,22.8008064119585,7908674.936960001,224.00000000000003,93.0,2023-04-29 00:00:00.000000000,2023-07-31 00:00:00.000000000,1.0,7.0,High
CAM0046,Billboard,Electronics,Sarawak,125653.0,352441.0,798800.0,48697.0,6.096269404106159,5474.0,11.24093886687065,334337.0,94.86325370771279,26.0,2023-03-12 00:00:00.000000000,2023-04-07 00:00:00.000000000,2.0,10.0,High
CAM0047,TV,Fashion,Sabah,422072.0,1588977.7777777778,735784.0,24582.0,3.3409261413675755,7847.0,31.921731348140913,429024.0,27.0,186.0,2023-02-28 00:00:00.000000000,2023-09-02 00:00:00.000000000,5.0,2.0,Low
CAM0048,TV,Health,Sarawak,338272.0,191302.0,346560.0,25464.0,7.347645429362881,15731.6592,61.78,663506.0,346.83693845333556,180.0,2023-03-01 00:00:00.000000000,2023-08-28 00:00:00.000000000,3.0,2.0,Low
CAM0049,TV,Groceries,Sarawak,37974.0,339679.0,707063.0,29594.0,4.185482764619277,2208.0,7.46097181861188,527787.0,155.3781658565881,215.0,2023-05-08 00:00:00.000000000,2023-12-09 00:00:00.000000000,3.0,3.0,Medium
CAM0050,Social Media,Health,Penang,226647.0,651503.0927835052,666045.0,23389.0,10.879999999999999,8865.0,46.11,631958.0,97.0,37.0,2023-05-01 00:00:00.000000000,2023-06-07 00:00:00.000000000,4.0,9.0,High
CAM0051,Social Media,Groceries,Kuala Lumpur,370735.0,3126301.794,279835.0,10725.0,3.832615648507156,6923.5,13.672897612808766,926391.0,29.632168006874128,84.0,2023-07-22 00:00:00.000000000,2023-10-14 00:00:00.000000000,4.0,4.0,Low
CAM0052,TV,Electronics,Kuala Lumpur,489017.0,196768.0,563696.0,14987.0,2.658702563083648,1464.0,9.76846600387002,788064.0,400.50414701577495,69.0,2023-07-18 00:00:00.000000000,2023-09-25 00:00:00.000000000,4.0,1.0,High
CAM0053,Radio,Electronics,Sabah,77077.0,215686.0,47556.0,48657.0,97.7372217769283,6582.0,13.527344472532215,36149.0,16.76001224001558,81.0,2023-01-13 00:00:00.000000000,2023-04-04 00:00:00.000000000,4.0,8.0,Medium
CAM0054,TV,Groceries,Sarawak,337812.0,123640.0,853822.0,26510.0,73.69,8263.0,72.13000000000001,6496142.093,5254.078043513427,185.0,2023-06-07 00:00:00.000000000,2023-12-09 00:00:00.000000000,1.0,5.0,High
CAM0055,Email,Fashion,Sabah,310581.0,78242.0,79036.54485049834,47580.0,60.199999999999996,11901.35035986,25.0133467,854151.0,1091.6783824544361,170.0,2023-07-01 00:00:00.000000000,2023-12-18 00:00:00.000000000,5.0,7.0,Medium
CAM0056,Email,Groceries,Sarawak,233875.0,1491079.5454545454,504416.0,6568.0,3.33413138463715,1992.0,30.328867235079173,656075.0,44.0,159.0,2023-03-04 00:00:00.000000000,2023-08-10 00:00:00.000000000,2.0,4.0,High
CAM0057,Billboard,Electronics,Johor,334658.0,306667.0,570471.0,10848.0,1.9015865837176646,2206.0,20.335545722713864,877371.0,286.09892815333893,35.0,2023-03-19 00:00:00.000000000,2023-04-23 00:00:00.000000000,3.0,2.0,Medium
CAM0058,Email,Health,Penang,293435.0,3793472.302,387331.0,45558.0,11.762032989871713,8989.0,19.73089248869573,59029.0,1.556067773814472,76.0,2023-06-12 00:00:00.000000000,2023-08-27 00:00:00.000000000,2.0,8.0,Low
CAM0059,Radio,Health,Penang,392610.0,56421.0,447783.0,2913.0,0.6505383187838752,2996.0,97.22963951935914,258100.0,457.4537849382322,107.0,2023-05-30 00:00:00.000000000,2023-09-14 00:00:00.000000000,4.0,7.0,Low
CAM0060,TV,Fashion,Sarawak,137400.0,386420.0,37950.5192425168,24850.0,65.48,1067.0,4.293762575452717,917943.0,237.55059261942964,90.0,2023-03-09 00:00:00.000000000,2023-06-07 00:00:00.000000000,5.0,7.0,High
CAM0061,Social Media,Fashion,Kuala Lumpur,393921.0,33974.0,691136.0,43395.0,6.278793175294009,347.0,0.7996312939278719,54698.14000000001,161.0,49.0,2023-10-11 00:00:00.000000000,2023-11-29 00:00:00.000000000,1.0,5.0,High
CAM0062,TV,Electronics,Johor,287494.0,162162.0,398956.0,24141.0,6.051043222811538,21215.1108,87.88,307547.0,189.65417298750634,352.0,2023-01-12 00:00:00.000000000,2023-12-30 00:00:00.000000000,3.0,10.0,High
CAM0063,Radio,Groceries,Kuala Lumpur,451904.0,149947.0,508961.0,31689.0,6.22621379634196,7142.0,22.537789138186753,278677.0,185.8503337846039,26.0,2023-08-31 00:00:00.000000000,2023-09-26 00:00:00.000000000,1.0,3.0,Low
CAM0064,Email,Electronics,Sarawak,216858.0,3174009.558,946963.0,40762.0,4.30449764140732,7907.0,19.39796869633482,264543.0,8.334662992215224,75.0,2023-08-27 00:00:00.000000000,2023-11-10 00:00:00.000000000,4.0,4.0,Medium
CAM0065,TV,Groceries,Penang,306185.0,287549.0,664100.0,16354.0,2.462580936605933,3222.0,28.236349686497544,878418.0,305.48463044559367,258.0,2023-04-08 00:00:00.000000000,2023-12-22 00:00:00.000000000,1.0,9.0,High
CAM0066,Social Media,Health,Sabah,265332.0,8281.0,514858.0,26611.0,5.168609597209327,5513.0,20.716996730675284,762477.0,9207.547397657288,81.0,2023-03-03 00:00:00.000000000,2023-05-23 00:00:00.000000000,2.0,2.0,High
CAM0067,TV,Automotive,Johor,225437.0,281846.0,332104.0,39328.0,11.842073567316262,5947.0,15.121541903986982,374855.18,133.0,45.0,2023-07-01 00:00:00.000000000,2023-08-15 00:00:00.000000000,3.0,8.0,Medium
CAM0068,News,Electronics,Johor,2772000.0,3728380.0,1588730.0,14937.0,0.9401849275836675,9981.0,66.82064671620807,8426138.799999999,225.99999999999997,307.0,2023-02-17 00:00:00.000000000,2023-12-21 00:00:00.000000000,3.0,6.0,Medium
CAM0069,TV,Health,Penang,292779.0,257090.0,203723.0,20314.0,9.971382710837755,2296.0,11.302549965541006,273651.0,106.4417130187872,217.0,2023-04-25 00:00:00.000000000,2023-11-28 00:00:00.000000000,1.0,6.0,Medium
CAM0070,Social Media,Electronics,Johor,88894.0,102829.0,218181.0,2056.0,0.942336867096585,1989.7968,96.78,910878.0,885.8182030361086,18.0,2023-04-24 00:00:00.000000000,2023-05-12 00:00:00.000000000,2.0,4.0,High
CAM0071,TV,Groceries,Sarawak,278053.0,396530.0,415251.0,29122.0,7.013107734839892,4894.0,16.805164480461507,446049.0,112.48808412982625,104.0,2023-01-12 00:00:00.000000000,2023-04-26 00:00:00.000000000,3.0,5.0,Low
CAM0072,Social Media,Health,Penang,79969.0,23072.0,665371.0,29386.0,4.416483435557005,4289.0,14.595385557748589,660917.0,2864.5847780859917,123.0,2023-01-29 00:00:00.000000000,2023-06-01 00:00:00.000000000,5.0,3.0,Low
CAM0073,Social Media,Automotive,Penang,71778.0,55356.0,355326.0,9515.0,2.6778226192285395,2277.0,23.930635838150287,593097.0,1071.423151961847,83.0,2023-05-27 00:00:00.000000000,2023-08-18 00:00:00.000000000,5.0,1.0,Medium
CAM0074,Social Media,Fashion,Sabah,195076.0,70812.0,246018.0,2490.0,1.0121210643123675,441.0,17.710843373493976,585131.0,826.316161102638,68.0,2023-05-03 00:00:00.000000000,2023-07-10 00:00:00.000000000,3.0,9.0,Medium
CAM0075,Social Media,Groceries,Johor,84293.0,54524.0,136340.0,43269.0,31.736100924160187,5046.0,11.661928863620606,740529.0,1358.1707138141003,234.0,2023-04-30 00:00:00.000000000,2023-12-20 00:00:00.000000000,5.0,3.0,Low
CAM0076,Email,Automotive,Sarawak,148901.0,323599.0,486902.0,21328.0,86.76,1781.0,9.3,202282.0,62.51008192237924,160.0,2023-04-06 00:00:00.000000000,2023-09-13 00:00:00.000000000,2.0,1.0,Medium
CAM0077,Radio,Automotive,Kuala Lumpur,265332.0,395146.0,203526.0,786.0,0.38619144482768786,3407.0,23.070149691810975,71688.0,18.142155051550564,161.0,2023-06-21 00:00:00.000000000,2023-11-29 00:00:00.000000000,2.0,3.0,Low
CAM0078,TV,Fashion,Penang,226814.0,249195.0,743976.0,111831.2301,15.031564203683988,1383.0,1.2366849571119938,739645.0,296.81374024358433,112.0,2023-01-19 00:00:00.000000000,2023-05-11 00:00:00.000000000,3.0,2.0,High
